"","Variable","Coefficient","Protein"
"56","cg23936477",8.42477529431934e-05,"IL17A_FOM1"
"57","(Intercept)",11.2526614819026,"CXCL11_FOM1"
"58","cg08506672",-0.00836169168141167,"CXCL11_FOM1"
"59","cg09998151",0.0279733136462095,"CXCL11_FOM1"
"60","(Intercept)",3.48368680523216,"AXIN1_FOM1"
"61","cg09829645",0.000551238353492426,"AXIN1_FOM1"
"62","cg26077133",-0.000106905296142998,"AXIN1_FOM1"
"63","(Intercept)",7.98839981331569,"TRAIL_FOM1"
"64","cg19539986",-5.98832421511754e-06,"TRAIL_FOM1"
"65","cg21130926",5.04685147488123e-05,"TRAIL_FOM1"
"66","(Intercept)",1.71514859256578,"IL20RA_FOM1"
"67","cg21272897",-6.89490927556597e-05,"IL20RA_FOM1"
"68","cg11420142",2.27520325110736e-05,"IL20RA_FOM1"
"69","cg19218082",1.17057979459856e-05,"IL20RA_FOM1"
"70","(Intercept)",8.49937724752852,"CXCL9_FOM1"
"71","cg04964672",0.00260278062295013,"CXCL9_FOM1"
"72","cg09197443",0.00657190817213523,"CXCL9_FOM1"
"73","cg22509014",-0.00138799973185526,"CXCL9_FOM1"
"74","cg00072288",0.00537520706760334,"CXCL9_FOM1"
"75","cg00115511",0.00267336540171974,"CXCL9_FOM1"
"76","cg00337921",0.00197514482587764,"CXCL9_FOM1"
"77","cg00358459",-0.00247653899083608,"CXCL9_FOM1"
"78","cg00387940",-0.00176492381988878,"CXCL9_FOM1"
"79","cg00406460",0.00492432815401164,"CXCL9_FOM1"
"80","cg00408231",-0.000962555408029912,"CXCL9_FOM1"
"81","cg00412010",0.00104286991032289,"CXCL9_FOM1"
"82","cg00481999",-0.000717093364303564,"CXCL9_FOM1"
"83","cg00603890",-0.00150634550948863,"CXCL9_FOM1"
"84","cg00641092",0.00194375487748213,"CXCL9_FOM1"
"85","cg00648125",0.0023307591715721,"CXCL9_FOM1"
"86","cg00673685",-0.00496563929932252,"CXCL9_FOM1"
"87","cg00679726",-0.000686273156701037,"CXCL9_FOM1"
"88","cg00718858",0.00253500727119451,"CXCL9_FOM1"
"89","cg00735883",-0.00237642399332212,"CXCL9_FOM1"
"90","cg00762681",-0.00128223343775568,"CXCL9_FOM1"
"91","cg00902308",-0.000993336837131963,"CXCL9_FOM1"
"92","cg00968771",-0.000539821003581725,"CXCL9_FOM1"
"93","cg01003813",-0.00285549529867758,"CXCL9_FOM1"
"94","cg01052065",0.00436584383125384,"CXCL9_FOM1"
"95","cg01083397",-0.000450997449590405,"CXCL9_FOM1"
"96","cg01114504",-0.00217856890247337,"CXCL9_FOM1"
"97","cg01140782",-0.000371760720576436,"CXCL9_FOM1"
"98","cg01150083",0.0057453939698416,"CXCL9_FOM1"
"99","cg01151305",0.00358892875994436,"CXCL9_FOM1"
"100","cg01173508",-0.00010347001728203,"CXCL9_FOM1"
"101","cg01191902",-0.000656567210077415,"CXCL9_FOM1"
"102","cg01207755",0.00330294543555964,"CXCL9_FOM1"
"103","cg01222180",-0.00108073959964056,"CXCL9_FOM1"
"104","cg01293417",-0.00473855018966924,"CXCL9_FOM1"
"105","cg01306265",0.000388575688839047,"CXCL9_FOM1"
"106","cg01353788",-0.000365494241225481,"CXCL9_FOM1"
"107","cg01354447",-0.00208001885942059,"CXCL9_FOM1"
"108","cg01366378",0.00105345581827357,"CXCL9_FOM1"
"109","cg01374885",0.000726402628965351,"CXCL9_FOM1"
"110","cg01375263",-0.00154345830639617,"CXCL9_FOM1"
"111","cg01413240",-0.00232414568876959,"CXCL9_FOM1"
"112","cg01426251",-0.00174270778517715,"CXCL9_FOM1"
"113","cg01430241",0.00102947363003441,"CXCL9_FOM1"
"114","cg01522249",-0.00414590767715497,"CXCL9_FOM1"
"115","cg01560885",-0.00155685382502691,"CXCL9_FOM1"
"116","cg01581349",7.20792665966574e-05,"CXCL9_FOM1"
"117","cg01592490",-0.00436078486917777,"CXCL9_FOM1"
"118","cg01668271",-0.000454691039749698,"CXCL9_FOM1"
"119","cg01698523",-0.00231290996141626,"CXCL9_FOM1"
"120","cg01730928",-0.000292329961146392,"CXCL9_FOM1"
"121","cg01740135",0.0191606163879188,"CXCL9_FOM1"
"122","cg01742164",0.00108195469582319,"CXCL9_FOM1"
"123","cg01755617",0.00272501464490896,"CXCL9_FOM1"
"124","cg01765758",4.95741049434471e-05,"CXCL9_FOM1"
"125","cg01776229",0.00278011923491194,"CXCL9_FOM1"
"126","cg01786460",-8.17689489436983e-05,"CXCL9_FOM1"
"127","cg01915804",-0.00104437698289064,"CXCL9_FOM1"
"128","cg01932223",-0.00303293287878055,"CXCL9_FOM1"
"129","cg02048654",0.0055901477038069,"CXCL9_FOM1"
"130","cg02055404",-0.000825723964511964,"CXCL9_FOM1"
"131","cg02120046",0.00173706836729302,"CXCL9_FOM1"
"132","cg02129889",-0.00375479050267029,"CXCL9_FOM1"
"133","cg02161824",-0.000203529052218732,"CXCL9_FOM1"
"134","cg02185190",0.00144201061892734,"CXCL9_FOM1"
"135","cg02393514",0.000457854414835758,"CXCL9_FOM1"
"136","cg02413104",-0.00017259806026235,"CXCL9_FOM1"
"137","cg02540826",0.000381025462884508,"CXCL9_FOM1"
"138","cg02587153",0.000535888756374218,"CXCL9_FOM1"
"139","cg02600772",0.00248751742110137,"CXCL9_FOM1"
"140","cg02678356",0.0015247413011298,"CXCL9_FOM1"
"141","cg02702444",-0.0264819369052745,"CXCL9_FOM1"
"142","cg02880544",-0.000619592712107982,"CXCL9_FOM1"
"143","cg02929371",0.000552707641911042,"CXCL9_FOM1"
"144","cg02934281",-0.00195379853154264,"CXCL9_FOM1"
"145","cg02949713",-0.00143513550187485,"CXCL9_FOM1"
"146","cg03024957",0.000555008186940173,"CXCL9_FOM1"
"147","cg03040210",-0.00307202830917714,"CXCL9_FOM1"
"148","cg03172171",0.0041671869375559,"CXCL9_FOM1"
"149","cg03191083",-0.00221114211463794,"CXCL9_FOM1"
"150","cg03191359",-0.000326466389631748,"CXCL9_FOM1"
"151","cg03201658",-0.0021216868352783,"CXCL9_FOM1"
"152","cg03212133",-0.0068960436345302,"CXCL9_FOM1"
"153","cg03213502",-0.000833792872868987,"CXCL9_FOM1"
"154","cg03375088",-0.00171350945265108,"CXCL9_FOM1"
"155","cg03445679",0.000140792989416722,"CXCL9_FOM1"
"156","cg03484234",-0.00123468612195759,"CXCL9_FOM1"
"157","cg03605858",-0.00237116032891741,"CXCL9_FOM1"
"158","cg03663024",-0.00105957655517609,"CXCL9_FOM1"
"159","cg03665912",3.33114561929243e-05,"CXCL9_FOM1"
"160","cg03688409",-0.00110887098639258,"CXCL9_FOM1"
"161","cg03706022",0.00237841580874087,"CXCL9_FOM1"
"162","cg03718079",0.00473797714826849,"CXCL9_FOM1"
"163","cg03738247",-0.00108640639454118,"CXCL9_FOM1"
"164","cg03746520",-0.000415113361273865,"CXCL9_FOM1"
"165","cg03885028",-0.00455967867684414,"CXCL9_FOM1"
"166","cg03971283",0.000277569022836006,"CXCL9_FOM1"
"167","cg04039555",6.46861438867726e-05,"CXCL9_FOM1"
"168","cg04072009",-0.00110960195305484,"CXCL9_FOM1"
"169","cg04075827",-0.000634278671072781,"CXCL9_FOM1"
"170","cg04093132",-0.002893011776974,"CXCL9_FOM1"
"171","cg04109661",0.000823553754806823,"CXCL9_FOM1"
"172","cg04143870",-0.00436921358383488,"CXCL9_FOM1"
"173","cg04177426",0.000289672293229897,"CXCL9_FOM1"
"174","cg04183498",-1.61496976730118e-05,"CXCL9_FOM1"
"175","cg04189723",-0.00013672956687934,"CXCL9_FOM1"
"176","cg04211807",-0.000434040154452887,"CXCL9_FOM1"
"177","cg04402371",-0.000150324493683638,"CXCL9_FOM1"
"178","cg04490290",-0.000239424708585137,"CXCL9_FOM1"
"179","cg04574723",-0.002908087273834,"CXCL9_FOM1"
"180","cg04581892",-0.000763988936134329,"CXCL9_FOM1"
"181","cg04653083",-0.00503570543796542,"CXCL9_FOM1"
"182","cg04665139",0.00380298793193073,"CXCL9_FOM1"
"183","cg04675306",8.32970675483672e-05,"CXCL9_FOM1"
"184","cg04774951",1.83126054528438e-05,"CXCL9_FOM1"
"185","cg04790148",0.00165227377386643,"CXCL9_FOM1"
"186","cg04793532",0.00175538947743978,"CXCL9_FOM1"
"187","cg04926827",0.00190437545391341,"CXCL9_FOM1"
"188","cg05032353",-0.00573805825055874,"CXCL9_FOM1"
"189","cg05032903",0.00011359952877021,"CXCL9_FOM1"
"190","cg05045738",4.53978147302619e-05,"CXCL9_FOM1"
"191","cg05047411",-0.00077536843031433,"CXCL9_FOM1"
"192","cg05052243",-0.00219521114792646,"CXCL9_FOM1"
"193","cg05071823",0.000433046219372084,"CXCL9_FOM1"
"194","cg05078775",-0.00607105885180889,"CXCL9_FOM1"
"195","cg05096434",0.00394083754642831,"CXCL9_FOM1"
"196","cg05114100",0.00104457604029068,"CXCL9_FOM1"
"197","cg05131629",-0.00134076753666113,"CXCL9_FOM1"
"198","cg05135729",-0.00436519877050675,"CXCL9_FOM1"
"199","cg05135828",-0.00381791298633042,"CXCL9_FOM1"
"200","cg05264033",-0.000339672807328805,"CXCL9_FOM1"
"201","cg05279113",0.000504539326039434,"CXCL9_FOM1"
"202","cg05288642",-0.00391673132671549,"CXCL9_FOM1"
"203","cg05288927",-0.00382024204923756,"CXCL9_FOM1"
"204","cg05313921",0.00145702051927687,"CXCL9_FOM1"
"205","cg05407550",-0.000315416870899476,"CXCL9_FOM1"
"206","cg05423956",0.000723736593822683,"CXCL9_FOM1"
"207","cg05425577",-0.00281002777641835,"CXCL9_FOM1"
"208","cg05452887",0.0018920894628273,"CXCL9_FOM1"
"209","cg05483199",-0.000794133687421547,"CXCL9_FOM1"
"210","cg05529533",-0.00143148678417699,"CXCL9_FOM1"
"211","cg05548952",-0.00132071001306489,"CXCL9_FOM1"
"212","cg05555050",-0.00114556601078555,"CXCL9_FOM1"
"213","cg05570609",0.00067852194998369,"CXCL9_FOM1"
"214","cg05600581",-0.00241522301928313,"CXCL9_FOM1"
"215","cg05690949",-0.00642219439664793,"CXCL9_FOM1"
"216","cg05782751",-0.00135616831371437,"CXCL9_FOM1"
"217","cg05804339",0.00160535928703859,"CXCL9_FOM1"
"218","cg05903800",7.26349248540716e-05,"CXCL9_FOM1"
"219","cg05932828",-0.0039712619784269,"CXCL9_FOM1"
"220","cg06008640",0.00258734980015189,"CXCL9_FOM1"
"221","cg06051662",-0.00122266711236512,"CXCL9_FOM1"
"222","cg06055478",-0.00187358242758273,"CXCL9_FOM1"
"223","cg06116594",0.000453712680496162,"CXCL9_FOM1"
"224","cg06187102",-0.00155867356882488,"CXCL9_FOM1"
"225","cg06238055",0.00251484699579605,"CXCL9_FOM1"
"226","cg06302218",-0.000217894149607924,"CXCL9_FOM1"
"227","cg06307153",-0.00149861887622335,"CXCL9_FOM1"
"228","cg06313930",-0.00122984686455196,"CXCL9_FOM1"
"229","cg06318809",-0.000645324654473484,"CXCL9_FOM1"
"230","cg06341336",-0.000337516313243466,"CXCL9_FOM1"
"231","cg06442844",0.00172360173831825,"CXCL9_FOM1"
"232","cg06457249",0.000194974067734602,"CXCL9_FOM1"
"233","cg06630839",0.00300205466282617,"CXCL9_FOM1"
"234","cg06647694",-0.0013125408125571,"CXCL9_FOM1"
"235","cg06656651",-0.000529560693607212,"CXCL9_FOM1"
"236","cg06657741",0.00116547499332992,"CXCL9_FOM1"
"237","cg06782349",0.000524141419437968,"CXCL9_FOM1"
"238","cg06783548",0.00141476443634283,"CXCL9_FOM1"
"239","cg06833902",0.00133485498604782,"CXCL9_FOM1"
"240","cg06852103",-0.000935628540138681,"CXCL9_FOM1"
"241","cg06871279",-0.00103788613762601,"CXCL9_FOM1"
"242","cg06892157",0.00238962839957817,"CXCL9_FOM1"
"243","cg06959635",-0.000893544394175548,"CXCL9_FOM1"
"244","cg07005924",-0.00133765392705462,"CXCL9_FOM1"
"245","cg07069660",-0.00178738433155964,"CXCL9_FOM1"
"246","cg07115537",-0.00024976687237695,"CXCL9_FOM1"
"247","cg07210774",0.00290120763563233,"CXCL9_FOM1"
"248","cg07349006",-0.000409610624684184,"CXCL9_FOM1"
"249","cg07439872",0.000871598680116444,"CXCL9_FOM1"
"250","cg07464489",0.00160961314960955,"CXCL9_FOM1"
"251","cg07525100",-0.00117848606824793,"CXCL9_FOM1"
"252","cg07674139",0.000306158206008201,"CXCL9_FOM1"
"253","cg07679432",0.00303609372478845,"CXCL9_FOM1"
"254","cg07681512",-0.000284693591489192,"CXCL9_FOM1"
"255","cg07692215",-0.00139736607690347,"CXCL9_FOM1"
"256","cg07768177",0.0034205499910795,"CXCL9_FOM1"
"257","cg07780887",0.001775568781203,"CXCL9_FOM1"
"258","cg07823797",0.00032716563061932,"CXCL9_FOM1"
"259","cg07824128",0.00139372537269678,"CXCL9_FOM1"
"260","cg07874445",0.0013381098524438,"CXCL9_FOM1"
"261","cg07885785",0.00105328958101298,"CXCL9_FOM1"
"262","cg07897414",0.00256380385049944,"CXCL9_FOM1"
"263","cg07910919",0.000309444891933127,"CXCL9_FOM1"
"264","cg07929447",0.00095033610827183,"CXCL9_FOM1"
"265","cg08100265",-0.00285166634535012,"CXCL9_FOM1"
"266","cg08100618",-0.00411769809551873,"CXCL9_FOM1"
"267","cg08168768",-0.00436693569423077,"CXCL9_FOM1"
"268","cg08300622",0.000441379889804835,"CXCL9_FOM1"
"269","cg08395108",-0.00235885661474855,"CXCL9_FOM1"
"270","cg08591489",-0.009774203118078,"CXCL9_FOM1"
"271","cg08711530",-0.000552540286632982,"CXCL9_FOM1"
"272","cg08872581",-0.00197915030351448,"CXCL9_FOM1"
"273","cg08881528",-0.00215724414719349,"CXCL9_FOM1"
"274","cg08963265",-3.08509470824136e-05,"CXCL9_FOM1"
"275","cg08998989",-0.00355336690953842,"CXCL9_FOM1"
"276","cg09058241",-0.0001251507188005,"CXCL9_FOM1"
"277","cg09072865",0.00146956486436049,"CXCL9_FOM1"
"278","cg09076821",-0.000214803462621327,"CXCL9_FOM1"
"279","cg09086179",0.00039982546198233,"CXCL9_FOM1"
"280","cg09119244",-0.00496836606960269,"CXCL9_FOM1"
"281","cg09146129",0.00190408660352572,"CXCL9_FOM1"
"282","cg09146364",-0.002266589052031,"CXCL9_FOM1"
"283","cg09285672",0.000170006419831209,"CXCL9_FOM1"
"284","cg09309899",0.00108132824871661,"CXCL9_FOM1"
"285","cg09455225",-0.000974691585914316,"CXCL9_FOM1"
"286","cg09536390",-0.00366858647678557,"CXCL9_FOM1"
"287","cg09610569",0.000761399572531588,"CXCL9_FOM1"
"288","cg09666011",0.00079016552034496,"CXCL9_FOM1"
"289","cg09687738",0.000119663922738771,"CXCL9_FOM1"
"290","cg09740875",-4.57214814082685e-05,"CXCL9_FOM1"
"291","cg09799350",-0.00561104382033385,"CXCL9_FOM1"
"292","cg09815545",0.000788292447270854,"CXCL9_FOM1"
"293","cg09824104",-0.00012413678994648,"CXCL9_FOM1"
"294","cg09850561",0.00194001279265133,"CXCL9_FOM1"
"295","cg10018458",-0.0037023825465702,"CXCL9_FOM1"
"296","cg10159238",-0.00118462806919154,"CXCL9_FOM1"
"297","cg10237576",0.00110961473176634,"CXCL9_FOM1"
"298","cg10288278",0.000539524620981482,"CXCL9_FOM1"
"299","cg10306780",0.00072039347202983,"CXCL9_FOM1"
"300","cg10347326",-0.000344965226673863,"CXCL9_FOM1"
"301","cg10413105",0.00526335930185609,"CXCL9_FOM1"
"302","cg10436191",0.00106575437210911,"CXCL9_FOM1"
"303","cg10489414",0.00068929059719832,"CXCL9_FOM1"
"304","cg10530128",-0.000143958102851717,"CXCL9_FOM1"
"305","cg10560144",-0.0041866929623936,"CXCL9_FOM1"
"306","cg10573235",0.00115163774010514,"CXCL9_FOM1"
"307","cg10575236",0.00133022881334919,"CXCL9_FOM1"
"308","cg10593416",0.000789808166250077,"CXCL9_FOM1"
"309","cg10710494",-9.85861532645308e-05,"CXCL9_FOM1"
"310","cg10718795",0.000706489734345649,"CXCL9_FOM1"
"311","cg10775576",-0.001453093903814,"CXCL9_FOM1"
"312","cg10871000",0.00075551579411241,"CXCL9_FOM1"
"313","cg10894453",0.00626504998297126,"CXCL9_FOM1"
"314","cg10950297",-0.000824607626193242,"CXCL9_FOM1"
"315","cg10991514",0.00418808307642395,"CXCL9_FOM1"
"316","cg11024449",0.0001725572407187,"CXCL9_FOM1"
"317","cg11036643",-0.000695603735418677,"CXCL9_FOM1"
"318","cg11039211",-0.000255230808759898,"CXCL9_FOM1"
"319","cg11082630",0.00887308367582179,"CXCL9_FOM1"
"320","cg11153610",0.000429257902969247,"CXCL9_FOM1"
"321","cg11190082",0.00251953652452913,"CXCL9_FOM1"
"322","cg11233153",-0.000846668534507372,"CXCL9_FOM1"
"323","cg11290168",-0.00454891136978672,"CXCL9_FOM1"
"324","cg11293764",0.00426496757511554,"CXCL9_FOM1"
"325","cg11327391",-0.00301200625224693,"CXCL9_FOM1"
"326","cg11418237",0.0026809924573503,"CXCL9_FOM1"
"327","cg11450947",0.00456380117021319,"CXCL9_FOM1"
"328","cg11458555",-8.97791940051549e-05,"CXCL9_FOM1"
"329","cg11460496",0.0083497908633007,"CXCL9_FOM1"
"330","cg11475300",-0.000463331706369434,"CXCL9_FOM1"
"331","cg11509903",-0.00449656049132949,"CXCL9_FOM1"
"332","cg11638117",-0.000940103000643439,"CXCL9_FOM1"
"333","cg11645133",-0.000283129887361473,"CXCL9_FOM1"
"334","cg11675245",-0.000944857904131888,"CXCL9_FOM1"
"335","cg11708328",0.00364097995159582,"CXCL9_FOM1"
"336","cg11778030",0.00289009338555802,"CXCL9_FOM1"
"337","cg11825731",0.00298081317754759,"CXCL9_FOM1"
"338","cg11834066",-0.00891476570247937,"CXCL9_FOM1"
"339","cg11863519",-0.00151428350711014,"CXCL9_FOM1"
"340","cg11867195",0.0105000554221785,"CXCL9_FOM1"
"341","cg11917780",-0.000908415410812287,"CXCL9_FOM1"
"342","cg11918562",0.0032665053939189,"CXCL9_FOM1"
"343","cg12025642",-7.84710163029364e-05,"CXCL9_FOM1"
"344","cg12039967",0.000953006959008795,"CXCL9_FOM1"
"345","cg12075996",-0.00490326347980035,"CXCL9_FOM1"
"346","cg12082130",0.00232518538686837,"CXCL9_FOM1"
"347","cg12113703",-0.00188226323226208,"CXCL9_FOM1"
"348","cg12130015",0.00491203906641181,"CXCL9_FOM1"
"349","cg12220696",0.00211143836098647,"CXCL9_FOM1"
"350","cg12292084",2.70366091479319e-05,"CXCL9_FOM1"
"351","cg12377701",-7.14956807107521e-05,"CXCL9_FOM1"
"352","cg12409683",0.00110642942785042,"CXCL9_FOM1"
"353","cg12419462",0.000860444544146102,"CXCL9_FOM1"
"354","cg12537796",0.00135094832371139,"CXCL9_FOM1"
"355","cg12544391",0.00341897383510013,"CXCL9_FOM1"
"356","cg12586718",-0.000719258452690844,"CXCL9_FOM1"
"357","cg12622895",0.00366569479662592,"CXCL9_FOM1"
"358","cg12875241",0.00303909224381904,"CXCL9_FOM1"
"359","cg12888005",-0.000506315364544416,"CXCL9_FOM1"
"360","cg12942133",0.000448397316305112,"CXCL9_FOM1"
"361","cg13024202",3.15244556883228e-05,"CXCL9_FOM1"
"362","cg13149745",-0.00420475651540727,"CXCL9_FOM1"
"363","cg13176197",-0.000113151458546046,"CXCL9_FOM1"
"364","cg13177658",-0.00154559382605743,"CXCL9_FOM1"
"365","cg13192155",0.000803522371555003,"CXCL9_FOM1"
"366","cg13232664",0.001155753727338,"CXCL9_FOM1"
"367","cg13240932",0.00091133089799746,"CXCL9_FOM1"
"368","cg13244998",0.00152872257799729,"CXCL9_FOM1"
"369","cg13391512",0.00140396655895342,"CXCL9_FOM1"
"370","cg13558151",0.00114040967628755,"CXCL9_FOM1"
"371","cg13640071",-0.00203774471329595,"CXCL9_FOM1"
"372","cg13655660",-0.00105345103149821,"CXCL9_FOM1"
"373","cg13666323",0.00521181695697594,"CXCL9_FOM1"
"374","cg13677598",-0.00230718606211791,"CXCL9_FOM1"
"375","cg13716034",-0.000218392859085356,"CXCL9_FOM1"
"376","cg13751216",-0.000251605002087155,"CXCL9_FOM1"
"377","cg13781574",0.00574815654725693,"CXCL9_FOM1"
"378","cg13815872",-0.00123777845637686,"CXCL9_FOM1"
"379","cg13860040",0.000721848665434077,"CXCL9_FOM1"
"380","cg13866977",-0.000573516654303128,"CXCL9_FOM1"
"381","cg13897449",4.44178827712995e-05,"CXCL9_FOM1"
"382","cg13929206",0.00302922438833233,"CXCL9_FOM1"
"383","cg13937627",0.000400253150334542,"CXCL9_FOM1"
"384","cg14020146",-8.5721720731689e-05,"CXCL9_FOM1"
"385","cg14029201",0.00246065607526046,"CXCL9_FOM1"
"386","cg14053556",-0.000141858069922676,"CXCL9_FOM1"
"387","cg14110884",2.37685243112934e-05,"CXCL9_FOM1"
"388","cg14113919",0.00159480981434181,"CXCL9_FOM1"
"389","cg14126185",6.5912458390806e-05,"CXCL9_FOM1"
"390","cg14224753",0.000525897052205857,"CXCL9_FOM1"
"391","cg14232291",5.25165831582333e-05,"CXCL9_FOM1"
"392","cg14232368",-0.00077037342025056,"CXCL9_FOM1"
"393","cg14243895",0.00056454012893743,"CXCL9_FOM1"
"394","cg14253153",-0.00017612672105305,"CXCL9_FOM1"
"395","cg14273219",0.00344462435762827,"CXCL9_FOM1"
"396","cg14315663",0.00437977198846855,"CXCL9_FOM1"
"397","cg14349394",0.001322041222722,"CXCL9_FOM1"
"398","cg14386202",0.000977036883461558,"CXCL9_FOM1"
"399","cg14470409",-0.00369389105983641,"CXCL9_FOM1"
"400","cg14513804",0.000293043383406424,"CXCL9_FOM1"
"401","cg14516385",9.82329000201781e-05,"CXCL9_FOM1"
"402","cg14539730",-0.0027084387548802,"CXCL9_FOM1"
"403","cg14590681",0.00196121018173249,"CXCL9_FOM1"
"404","cg14629010",-0.0021100500051521,"CXCL9_FOM1"
"405","cg14711543",0.00134092178559279,"CXCL9_FOM1"
"406","cg14736373",0.00120764012258444,"CXCL9_FOM1"
"407","cg14749816",-0.000630651420655103,"CXCL9_FOM1"
"408","cg14772836",0.00173602689670264,"CXCL9_FOM1"
"409","cg14804181",0.00122412775070441,"CXCL9_FOM1"
"410","cg14807303",0.000729002596264085,"CXCL9_FOM1"
"411","cg14815778",0.00160547364029115,"CXCL9_FOM1"
"412","cg14828248",0.000439148489080903,"CXCL9_FOM1"
"413","cg14834143",0.00177529838278003,"CXCL9_FOM1"
"414","cg14949922",-0.000715497364640863,"CXCL9_FOM1"
"415","cg14972889",-0.00120126264130787,"CXCL9_FOM1"
"416","cg14986420",0.000697662735979652,"CXCL9_FOM1"
"417","cg15024309",-0.00158132177464564,"CXCL9_FOM1"
"418","cg15050093",-0.00317256143926917,"CXCL9_FOM1"
"419","cg15200096",-0.00389591835053012,"CXCL9_FOM1"
"420","cg15210787",-0.00253096390042614,"CXCL9_FOM1"
"421","cg15211677",-0.00814754178201357,"CXCL9_FOM1"
"422","cg15232885",0.00198969916122585,"CXCL9_FOM1"
"423","cg15233060",-0.00586303609853701,"CXCL9_FOM1"
"424","cg15255859",0.00399343062982655,"CXCL9_FOM1"
"425","cg15308487",0.000271036949111382,"CXCL9_FOM1"
"426","cg15336560",0.00514094657661476,"CXCL9_FOM1"
"427","cg15351067",-0.00135075251317845,"CXCL9_FOM1"
"428","cg15395087",-0.00199463661578069,"CXCL9_FOM1"
"429","cg15529344",-0.000776419836539784,"CXCL9_FOM1"
"430","cg15534364",0.000998659532774337,"CXCL9_FOM1"
"431","cg15627188",0.000605544626174852,"CXCL9_FOM1"
"432","cg15661671",0.000780205319692208,"CXCL9_FOM1"
"433","cg15686826",0.0018528297927372,"CXCL9_FOM1"
"434","cg15755924",-0.00113749887418613,"CXCL9_FOM1"
"435","cg15819935",-0.00087599726219172,"CXCL9_FOM1"
"436","cg15831456",0.00106370307629642,"CXCL9_FOM1"
"437","cg15840039",0.00144024333128039,"CXCL9_FOM1"
"438","cg15847896",0.000183946371647551,"CXCL9_FOM1"
"439","cg15887754",0.00843014091399566,"CXCL9_FOM1"
"440","cg16051475",0.000992903484693312,"CXCL9_FOM1"
"441","cg16088894",0.000298251835838764,"CXCL9_FOM1"
"442","cg16199038",-0.000631774634954486,"CXCL9_FOM1"
